USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
_sophos            782   0.0  0.0 426879664   1888   ??  S     8:00PM   0:00.01 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/XPCServices/csnameddatad.xpc/Contents/MacOS/csnameddatad
_sophos            781   0.0  0.1 426927088   5088   ??  S     8:00PM   0:00.09 /usr/libexec/lsd
_sophos            780   0.0  0.1 426893328   4560   ??  S     8:00PM   0:00.05 /usr/libexec/pkd
_sophos            779   0.0  0.0 426883744   1888   ??  S     8:00PM   0:00.04 /usr/sbin/cfprefsd agent
_sophos            778   0.0  0.1 426928224   6864   ??  SN    8:00PM   0:00.47 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport -s mdworker-bundle -c MDSImporterBundleFinder -m com.apple.metadata.mdbulkimport
_sophos            776   0.0  0.0 426883728   2096   ??  S     8:00PM   0:00.12 /usr/sbin/distnoted agent
developer          772   0.0  0.1 426893568   4016   ??  S     8:00PM   0:00.10 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker-sizing -c MDSSizingWorker -m com.apple.mdworker.sizing
developer          763   0.0  0.0 410622128   1968   ??  Ss    8:00PM   0:00.01 /System/Library/PrivateFrameworks/SiriTTSService.framework/Versions/A/XPCServices/com.apple.SiriTTSService.TrialProxy.xpc/Contents/MacOS/com.apple.SiriTTSService.TrialProxy
developer          762   0.0  0.0 410261664   1824   ??  Ss    8:00PM   0:00.03 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
developer          750   0.0  0.1 410623104   3584   ??  Ss    8:00PM   0:00.05 /System/Library/PrivateFrameworks/SiriTTSService.framework/Versions/A/XPCServices/com.apple.SiriTTSService.TrialProxy.xpc/Contents/MacOS/com.apple.SiriTTSService.TrialProxy
developer          747   0.0  0.1 426922464   6176   ??  S     8:00PM   0:00.11 /System/Library/PrivateFrameworks/TextToSpeechVoiceBankingSupport.framework/Support/voicebankingd
