2025-07-21 17:41:25 status unpacked libsemanage2:amd64 3.4-1+b5
2025-07-21 17:41:25 install passwd:amd64 <none> 1:4.13+dfsg1-1+deb12u1
2025-07-21 17:41:25 status half-installed passwd:amd64 1:4.13+dfsg1-1+deb12u1
2025-07-21 17:41:25 status unpacked passwd:amd64 1:4.13+dfsg1-1+deb12u1
2025-07-21 17:41:25 install libtinfo6:amd64 <none> 6.4-4
2025-07-21 17:41:25 status half-installed libtinfo6:amd64 6.4-4
2025-07-21 17:41:25 status unpacked libtinfo6:amd64 6.4-4
2025-07-21 17:41:25 install libsmartcols1:amd64 <none> 2.38.1-5+deb12u3
2025-07-21 17:41:25 status half-installed libsmartcols1:amd64 2.38.1-5+deb12u3
2025-07-21 17:41:25 status unpacked libsmartcols1:amd64 2.38.1-5+deb12u3
2025-07-21 17:41:25 install libuuid1:amd64 <none> 2.38.1-5+deb12u3
2025-07-21 17:41:25 status half-installed libuuid1:amd64 2.38.1-5+deb12u3
2025-07-21 17:41:25 status unpacked libuuid1:amd64 2.38.1-5+deb12u3
2025-07-21 17:41:25 install libss2:amd64 <none> 1.47.0-2
2025-07-21 17:41:25 status half-installed libss2:amd64 1.47.0-2
2025-07-21 17:41:25 status unpacked libss2:amd64 1.47.0-2
2025-07-21 17:41:25 install logsave:amd64 <none> 1.47.0-2
2025-07-21 17:41:25 status half-installed logsave:amd64 1.47.0-2
2025-07-21 17:41:25 status unpacked logsave:amd64 1.47.0-2
2025-07-21 17:41:25 install mount:amd64 <none> 2.38.1-5+deb12u3
2025-07-21 17:41:25 status half-installed mount:amd64 2.38.1-5+deb12u3
2025-07-21 17:41:26 status unpacked mount:amd64 2.38.1-5+deb12u3
2025-07-21 17:41:26 upgrade mawk:amd64 1.3.4.20200120-3.1 1.3.4.20200120-3.1
2025-07-21 17:41:26 status half-configured mawk:amd64 1.3.4.20200120-3.1
2025-07-21 17:41:26 status unpacked mawk:amd64 1.3.4.20200120-3.1
2025-07-21 17:41:26 status half-installed mawk:amd64 1.3.4.20200120-3.1
2025-07-21 17:41:26 status unpacked mawk:amd64 1.3.4.20200120-3.1
2025-07-21 17:41:26 install ncurses-base:all <none> 6.4-4
2025-07-21 17:41:26 status half-installed ncurses-base:all 6.4-4
2025-07-21 17:41:26 status unpacked ncurses-base:all 6.4-4
2025-07-21 17:41:26 install ncurses-bin:amd64 <none> 6.4-4
2025-07-21 17:41:26 status half-installed ncurses-bin:amd64 6.4-4
2025-07-21 17:41:26 status unpacked ncurses-bin:amd64 6.4-4
2025-07-21 17:41:26 install sed:amd64 <none> 4.9-1
2025-07-21 17:41:26 status half-installed sed:amd64 4.9-1
